PID	Status	Label
-	0	com.apple.TMHelperAgent
741	0	com.apple.Spotlight
72257	-9	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
72278	-9	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	-9	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
941	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
72422	-9	com.apple.WorkflowKit.ShortcutsViewService
-	-9	com.apple.carboncore.csnameddata
35153	-9	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
586	0	com.apple.distnoted.xpc.agent
-	-9	com.apple.SetStoreUpdateService
68259	-9	com.apple.geod
